date,period,value
2020-04-30,2020-03-31,910419797.95
2020-08-28,2020-06-30,1319718915.65
2020-10-29,2020-09-30,1765490167.13
2021-04-28,2020-12-31,2895442900.86
2021-04-28,2021-03-31,416914759.34
2021-08-28,2021-06-30,1048125412.84
2021-10-16,2021-09-30,1413820254.46
2022-04-26,2021-12-31,2113054163.75
2022-04-28,2022-03-31,656273810.89
2022-08-30,2022-06-30,1543468472.98
2022-10-27,2022-09-30,1959880378.11
2023-04-25,2022-12-31,2432914612.91
2023-04-25,2023-03-31,429155170.12
2023-08-30,2023-06-30,1588051332.51
2023-10-27,2023-09-30,1974438567.41
2024-04-27,2023-12-31,2364976412.64
2024-04-27,2024-03-31,832762479.69
2024-08-29,2024-06-30,1228090568.82
2024-10-29,2024-09-30,1713911510.25
2025-04-29,2024-12-31,2330885267.32
2025-04-29,2025-03-31,486632937.93
2025-08-23,2025-06-30,992168481.12
2025-10-27,2025-09-30,1792522065.43
