date,period,value
2020-04-30,2020-03-31,14309503.4
2020-08-28,2020-06-30,11304928.07
2020-10-29,2020-09-30,30938829.56
2021-04-28,2020-12-31,10689626.42
2021-04-28,2021-03-31,39123768.72
2021-08-28,2021-06-30,29695019.33
2021-10-16,2021-09-30,15687235.57
2022-04-26,2021-12-31,70356785.69
2022-04-28,2022-03-31,51687194.08
2022-08-30,2022-06-30,42818705.61
2022-10-27,2022-09-30,17486811.14
2023-04-25,2022-12-31,36830983.41
2023-04-25,2023-03-31,20000865.45
2023-08-30,2023-06-30,32304710.52
2023-10-27,2023-09-30,29698986.72
2024-04-27,2023-12-31,42429453.15
2024-04-27,2024-03-31,34505306.47
2024-08-29,2024-06-30,33263409.78
2024-10-29,2024-09-30,32944948.52
2025-04-29,2024-12-31,32940863.65
2025-04-29,2025-03-31,27732584.81
2025-08-23,2025-06-30,27726996.29
2025-10-27,2025-09-30,27771350.47
