date,period,value
2020-04-27,2020-03-31,323458179.29
2020-08-27,2020-06-30,377076688.69
2020-10-28,2020-09-30,407934842.39
2021-04-23,2020-12-31,447357898.72
2021-04-23,2021-03-31,456973546.6
2021-08-25,2021-06-30,483799962.91
2021-10-28,2021-09-30,527413422.99
2022-04-22,2021-12-31,569546169.12
2022-04-22,2022-03-31,593068174.91
2022-08-16,2022-06-30,624590817.85
2022-10-26,2022-09-30,695307745.6
2023-04-25,2022-12-31,814742778.79
2023-04-25,2023-03-31,798992927.31
2023-08-28,2023-06-30,868669744.21
2023-10-27,2023-09-30,943041724.55
2024-04-24,2023-12-31,885649759.82
2024-04-24,2024-03-31,920592417.27
2024-08-28,2024-06-30,1011882158.6
2024-10-29,2024-09-30,1135860181.87
2025-04-29,2024-12-31,937279066.11
2025-04-29,2025-03-31,963091193.93
2025-08-28,2025-06-30,1082898426.57
2025-10-30,2025-09-30,1117583846.21
