date,period,value
2020-04-27,2020-03-31,3851231.37
2020-08-27,2020-06-30,3957181.04
2020-10-29,2020-09-30,3548002.81
2021-04-20,2020-12-31,3147200.38
2021-04-27,2021-03-31,3298407.28
2021-08-27,2021-06-30,3352603.16
2021-10-28,2021-09-30,5504893.67
2022-04-20,2021-12-31,5844780.06
2022-04-27,2022-03-31,6621857.33
2022-08-29,2022-06-30,5411940.2
2022-10-27,2022-09-30,5036547.83
2023-04-20,2022-12-31,4621279.69
2023-04-27,2023-03-31,4866142.71
2023-08-29,2023-06-30,4666470.13
2023-10-24,2023-09-30,5016714.82
2024-04-19,2023-12-31,3928949.31
2024-04-26,2024-03-31,4250215.91
2024-08-29,2024-06-30,4563867.7
2024-10-29,2024-09-30,3945365.22
2025-04-22,2024-12-31,3368323.3
2025-04-29,2025-03-31,2030896.86
2025-08-28,2025-06-30,1822610.04
2025-10-29,2025-09-30,2229203.82
