date,period,value
2020-04-25,2020-03-31,31806511.68
2020-08-27,2020-06-30,122091816.46
2020-10-27,2020-09-30,284952315.46
2021-03-30,2020-12-31,443973011.27
2021-04-27,2021-03-31,146936256.9
2021-08-05,2021-06-30,267017518.17
2021-10-26,2021-09-30,476342514.11
2022-03-29,2021-12-31,591595665.5
2022-04-27,2022-03-31,163412691.26
2022-08-06,2022-06-30,285296344.15
2022-10-22,2022-09-30,566280127.21
2023-04-01,2022-12-31,696677914.2
2023-04-25,2023-03-31,197639400.47
2023-08-11,2023-06-30,349213302.5
2023-10-24,2023-09-30,602688798.88
2024-03-30,2023-12-31,711140576.01
2024-04-27,2024-03-31,216277844.28
2024-08-16,2024-06-30,361694522.9
2024-10-26,2024-09-30,578200751.37
2025-03-29,2024-12-31,606547755.99
2025-04-26,2025-03-31,170907930.41
2025-08-23,2025-06-30,272797257.47
2025-10-25,2025-09-30,496893110.28
2026-03-28,2025-12-31,528750391.99
