date,period,value
2020-04-18,2020-03-31,3756812.54
2020-08-18,2020-06-30,12643904.79
2020-10-30,2020-09-30,7303328.32
2021-04-16,2020-12-31,5969527.66
2021-04-16,2021-03-31,5517490.07
2021-08-27,2021-06-30,4864742.53
2021-10-29,2021-09-30,4796670.56
2022-04-23,2021-12-31,-1086691.86
2022-04-23,2022-03-31,2719915.56
2022-08-27,2022-06-30,2794875.89
2022-10-28,2022-09-30,6450424.68
2023-04-08,2022-12-31,7512140.9
2023-04-12,2023-03-31,2698082.37
2023-08-30,2023-06-30,1794122.29
2023-10-30,2023-09-30,1916205.06
2024-04-27,2023-12-31,-1901563.55
2024-04-27,2024-03-31,3023140.27
2024-08-16,2024-06-30,3961794.39
2024-10-25,2024-09-30,6235756.15
2025-04-28,2024-12-31,3248456.8
2025-04-28,2025-03-31,2971646.6
2025-08-29,2025-06-30,3628306.57
2025-10-29,2025-09-30,3524225.53
