date,period,value
2020-04-27,2020-03-31,1463209.42
2020-08-20,2020-06-30,1404186.85
2020-10-20,2020-09-30,1345164.28
2021-04-16,2020-12-31,1291347.03
2021-04-24,2021-03-31,1247932.71
2021-08-13,2021-06-30,1204518.39
2021-10-28,2021-09-30,1161104.07
2022-04-07,2021-12-31,1117689.75
2022-04-27,2022-03-31,1074275.43
2022-08-20,2022-06-30,1030861.11
2022-10-28,2022-09-30,987446.79
2023-04-26,2022-12-31,2126187.53
2023-04-26,2023-03-31,2051663.87
2023-08-26,2023-06-30,1977140.21
2023-10-26,2023-09-30,1902616.55
2024-04-25,2023-12-31,1828092.89
2024-04-27,2024-03-31,2941627.78
2024-08-06,2024-06-30,2837153.08
2024-10-16,2024-09-30,2732678.38
2025-04-16,2024-12-31,2628203.68
2025-04-21,2025-03-31,2523728.98
2025-08-01,2025-06-30,2837477.01
2025-10-28,2025-09-30,2722458.87
