date,period,value
2020-04-29,2020-03-31,993789.96
2020-08-27,2020-06-30,992739.96
2020-10-29,2020-09-30,991877.49
2021-03-31,2020-12-31,2490131.07
2021-04-29,2021-03-31,2487109.93
2021-08-27,2021-06-30,2472815.27
2021-10-29,2021-09-30,2485883.68
2022-03-26,2021-12-31,3738864.45
2022-04-26,2022-03-31,3733325.07
2022-08-30,2022-06-30,3748876.85
2022-10-25,2022-09-30,3758434.86
2023-03-31,2022-12-31,4120704.71
2023-04-27,2023-03-31,4114939.89
2023-08-30,2023-06-30,3798977.72
2023-10-24,2023-09-30,3801515.26
2024-04-03,2023-12-31,3842123.06
2024-04-26,2024-03-31,2329146.32
2024-08-28,2024-06-30,2312324.65
2024-10-25,2024-09-30,102298982.76
2025-04-22,2024-12-31,100749711.78
2025-04-28,2025-03-31,100729204.4
2025-08-22,2025-06-30,100712883.46
2025-10-29,2025-09-30,706520.92
2026-03-30,2025-12-31,692305.07
