date,period,value
2020-04-29,2020-03-31,1250230.88
2020-08-28,2020-06-30,1666629.18
2020-10-30,2020-09-30,1666629.18
2021-04-27,2020-12-31,3154425.18
2021-04-29,2021-03-31,24694.09
2021-08-30,2021-06-30,1482230.51
2021-10-29,2021-09-30,2138640.27
2022-04-28,2021-12-31,4619064.35
2022-04-29,2022-03-31,2232144.51
2022-08-27,2022-06-30,5939015.81
2022-10-28,2022-09-30,7695734.59
2023-04-28,2022-12-31,11857662.65
2023-04-28,2023-03-31,3552646.14
2023-08-30,2023-06-30,5102974.15
2023-10-28,2023-09-30,7303678.54
2024-04-25,2023-12-31,755967.54
2024-04-25,2024-03-31,2261969.3
2024-08-30,2024-06-30,1972168.52
2024-10-29,2024-09-30,1972168.52
2025-04-25,2024-12-31,18846591.12
2025-04-29,2025-03-31,8652944.25
2025-08-22,2025-06-30,10321826.49
2025-10-28,2025-09-30,4571148.58
