date,period,value
2020-04-24,2020-03-31,379070429.94
2020-08-25,2020-06-30,895993203.54
2020-10-23,2020-09-30,1366147392.19
2021-04-20,2020-12-31,1894174430.24
2021-04-20,2021-03-31,598871489.91
2021-08-27,2021-06-30,1180629390.27
2021-10-22,2021-09-30,1735782291.73
2022-04-22,2021-12-31,2346831900.25
2022-04-22,2022-03-31,669837440.26
2022-08-30,2022-06-30,1352569264.78
2022-10-26,2022-09-30,1982782339.68
2023-04-27,2022-12-31,2644839333.08
2023-04-27,2023-03-31,654336550.3
2023-08-29,2023-06-30,1148979794.22
2023-10-27,2023-09-30,1611484485.35
2024-04-26,2023-12-31,2278470126.36
2024-04-26,2024-03-31,601116331.26
2024-08-29,2024-06-30,1153395847.85
2024-10-29,2024-09-30,1786884254.65
2025-04-18,2024-12-31,2496468094.73
2025-04-25,2025-03-31,647731242.69
2025-08-23,2025-06-30,1348553889.04
2025-10-30,2025-09-30,1993856586.49
