date,period,value
2020-04-21,2020-03-31,0.0
2020-08-25,2020-06-30,0.0
2020-10-29,2020-09-30,0.0
2021-04-22,2020-12-31,0.0
2021-04-22,2021-03-31,0.0
2021-07-30,2021-06-30,0.0
2021-10-27,2021-09-30,0.0
2022-04-26,2021-12-31,0.0
2022-04-26,2022-03-31,0.0
2022-07-29,2022-06-30,0.0
2022-10-27,2022-09-30,0.0
2023-04-25,2022-12-31,0.0
2023-04-25,2023-03-31,0.0
2023-08-17,2023-06-30,0.0
2023-10-26,2023-09-30,0.0
2024-04-16,2023-12-31,0.0
2024-04-16,2024-03-31,0.0
2024-08-06,2024-06-30,0.0
2024-10-23,2024-09-30,0.0
2025-04-15,2024-12-31,0.0
2025-04-15,2025-03-31,0.0
2025-08-05,2025-06-30,0.0
2025-10-24,2025-09-30,0.0
