date,period,value
2022-03-08,2021-12-31,-9230764.15
2022-08-27,2022-06-30,-3001999.61
2022-10-25,2022-09-30,-7754629.0
2023-04-19,2022-12-31,-12507587.26
2023-08-30,2023-06-30,-2959121.73
2023-10-28,2023-09-30,-4741478.44
2024-04-19,2023-12-31,-14048573.22
2024-04-27,2024-03-31,-77779.33
2024-08-30,2024-06-30,-1444690.15
2024-10-28,2024-09-30,-1444690.15
2025-03-29,2024-12-31,-3665508.67
2025-08-28,2025-06-30,-402496.77
2025-10-30,2025-09-30,-403127.7
2026-03-24,2025-12-31,-621954.35
