date,period,value
2020-04-27,2020-03-31,20908022.37
2020-08-18,2020-06-30,18134326.77
2020-10-23,2020-09-30,45050078.36
2021-04-10,2020-12-31,141239778.54
2021-04-27,2021-03-31,139887069.72
2021-08-18,2021-06-30,136784241.07
2021-10-23,2021-09-30,162142276.47
2022-04-29,2021-12-31,196738872.75
2022-04-29,2022-03-31,189457734.58
2022-08-30,2022-06-30,76207378.48
2022-10-31,2022-09-30,102051635.02
2023-04-28,2022-12-31,356576742.75
2023-04-28,2023-03-31,368597412.95
2023-07-29,2023-06-30,325282841.21
2023-10-21,2023-09-30,279086803.39
2024-04-22,2023-12-31,73118482.55
2024-04-22,2024-03-31,64934846.9
2024-08-10,2024-06-30,66665711.97
2024-10-29,2024-09-30,62547426.66
2025-04-25,2024-12-31,35659528.53
2025-04-25,2025-03-31,32210741.46
2025-08-29,2025-06-30,73760709.38
2025-10-23,2025-09-30,73230944.47
