date,period,value
2020-08-27,2020-06-30,18035335.51
2020-10-30,2020-09-30,300882994.99
2021-04-21,2020-12-31,594511256.9
2021-04-21,2021-03-31,578371706.37
2021-08-30,2021-06-30,805194913.11
2021-10-29,2021-09-30,1166707101.52
2022-03-30,2021-12-31,1508526974.11
2022-04-29,2022-03-31,175136509.15
2022-08-30,2022-06-30,277390185.17
2022-10-28,2022-09-30,706855321.04
2023-04-27,2022-12-31,437653594.53
2023-04-27,2023-03-31,149599269.56
2023-07-20,2023-06-30,305579474.52
2023-10-30,2023-09-30,411382289.04
2024-04-23,2023-12-31,414559436.49
2024-04-23,2024-03-31,131359213.95
2024-08-28,2024-06-30,150308637.11
2024-10-29,2024-09-30,150308637.11
2025-04-24,2024-12-31,152301036.8
2025-10-29,2025-09-30,50062929.47
