date,period,value
2020-09-30,2020-06-30,24558894.97
2020-12-09,2020-09-30,41309620.69
2021-04-29,2020-03-31,8961682.4
2021-04-29,2020-12-31,68172151.32
2021-04-29,2021-03-31,16869362.64
2021-08-27,2021-06-30,36446232.74
2021-10-29,2021-09-30,56210040.5
2022-04-26,2021-12-31,83774947.38
2022-04-26,2022-03-31,20306974.66
2022-08-26,2022-06-30,47607704.43
2022-10-28,2022-09-30,77346265.15
2023-04-26,2022-12-31,112549684.65
2023-04-26,2023-03-31,24054033.33
2023-08-29,2023-06-30,50195692.15
2023-10-27,2023-09-30,77334120.66
2024-04-29,2023-12-31,105973557.12
2024-04-29,2024-03-31,20328885.9
2024-08-29,2024-06-30,45244389.92
2024-10-29,2024-09-30,71094637.88
2025-04-29,2024-12-31,105118482.69
2025-04-29,2025-03-31,25022734.84
2025-08-26,2025-06-30,51662441.26
2025-10-28,2025-09-30,86542114.93
