date,period,value
2020-09-22,2020-06-30,2004298.62
2021-02-26,2020-12-31,3075533.82
2021-04-26,2020-03-31,958207.01
2021-04-26,2021-03-31,1316279.41
2021-08-30,2021-06-30,2892831.44
2021-10-26,2020-09-30,2874621.02
2021-10-26,2021-09-30,5112431.1
2022-04-02,2021-12-31,6176114.8
2022-04-29,2022-03-31,2745130.9
2022-08-29,2022-06-30,5356423.17
2022-10-27,2022-09-30,6197176.86
2023-04-01,2022-12-31,22366149.73
2023-04-27,2023-03-31,2934363.27
2023-08-31,2023-06-30,105354117.44
2023-10-26,2023-09-30,128772536.16
2024-04-22,2023-12-31,194216444.35
2024-04-26,2024-03-31,24069545.89
2024-08-29,2024-06-30,40962644.85
2024-10-26,2024-09-30,44234795.17
2025-04-22,2024-12-31,47762340.36
2025-04-28,2025-03-31,5411137.93
2025-08-28,2025-06-30,11196051.92
2025-10-28,2025-09-30,18450110.42
