date,period,value
2020-11-20,2020-06-30,240996419.34
2021-04-02,2020-12-31,240008397.95
2021-06-21,2020-03-31,42923681.57
2021-06-21,2021-03-31,87145018.75
2021-08-26,2021-06-30,182809348.02
2021-10-27,2020-09-30,266577287.68
2021-10-27,2021-09-30,211397019.35
2022-03-25,2021-12-31,217186723.4
2022-04-27,2022-03-31,3596037.54
2022-08-26,2022-06-30,19397363.42
2022-10-26,2022-09-30,221847549.86
2023-03-28,2022-12-31,369935539.33
2023-04-27,2023-03-31,12076079.88
2023-08-24,2023-06-30,19116382.92
2023-10-26,2023-09-30,29202741.69
2024-03-22,2023-12-31,88701049.27
2024-04-27,2024-03-31,6528605.16
2024-08-23,2024-06-30,23659535.47
2024-10-26,2024-09-30,26938756.14
2025-03-26,2024-12-31,44779548.02
2025-04-26,2025-03-31,3355743.4
2025-08-26,2025-06-30,27683794.45
2025-10-25,2025-09-30,31876352.21
2026-03-25,2025-12-31,68171289.43
