date,period,value
2020-12-09,2020-06-30,18807214.32
2021-05-28,2020-12-31,36856710.87
2021-08-26,2021-06-30,37440070.04
2021-10-27,2020-09-30,29347135.13
2021-10-27,2021-09-30,51423501.75
2022-04-22,2021-12-31,61512999.62
2022-04-29,2021-03-31,5034886.32
2022-04-29,2022-03-31,5237674.14
2022-08-16,2022-06-30,39083809.81
2022-10-27,2022-09-30,58106034.8
2023-04-20,2022-12-31,62017988.95
2023-04-28,2023-03-31,22858449.74
2023-08-30,2023-06-30,34720472.38
2023-10-30,2023-09-30,52711066.11
2024-04-25,2023-12-31,83595248.93
2024-04-29,2024-03-31,23711027.33
2024-08-29,2024-06-30,61602409.89
2024-10-29,2024-09-30,75176929.66
2025-04-23,2024-12-31,124782729.42
2025-04-29,2025-03-31,35540674.31
2025-08-29,2025-06-30,83660839.92
2025-10-30,2025-09-30,124764776.41
