date,period,value
2020-12-09,2020-06-30,249506969.23
2021-05-28,2020-12-31,386827855.66
2021-08-26,2021-06-30,462712585.27
2021-10-27,2021-09-30,408818470.7
2022-04-22,2021-12-31,440558584.6
2022-04-29,2022-03-31,361172840.24
2022-08-16,2022-06-30,285844205.5
2022-10-27,2022-09-30,210710556.36
2023-04-20,2022-12-31,202920560.97
2023-04-28,2023-03-31,286653715.17
2023-08-30,2023-06-30,325928192.17
2023-10-30,2023-09-30,351973422.05
2024-04-25,2023-12-31,369187426.91
2024-04-29,2024-03-31,404912765.77
2024-08-29,2024-06-30,404763223.2
2024-10-29,2024-09-30,463445934.54
2025-04-23,2024-12-31,564637728.97
2025-04-29,2025-03-31,603352792.58
2025-08-29,2025-06-30,646379838.22
2025-10-30,2025-09-30,617417648.94
