date,period,value
2020-11-06,2020-06-30,3524597853.88
2021-03-25,2020-12-31,7535164593.92
2021-09-16,2021-06-30,4199912629.79
2021-10-30,2020-09-30,6033131810.96
2021-10-30,2021-09-30,6056922015.54
2022-04-28,2021-03-31,2218881643.68
2022-04-28,2021-12-31,8221237682.42
2022-04-28,2022-03-31,1854141296.57
2022-08-25,2022-06-30,3815100639.87
2022-10-27,2022-09-30,5585819458.05
2023-04-26,2022-12-31,7593740229.81
2023-04-26,2023-03-31,1898780025.81
2023-08-26,2023-06-30,3721185113.71
2023-10-30,2023-09-30,5655137829.46
2024-04-25,2023-12-31,7578920258.42
2024-04-25,2024-03-31,1592703460.52
2024-08-16,2024-06-30,3413757621.16
2024-10-22,2024-09-30,5606892623.03
2025-04-03,2024-12-31,7911130231.49
2025-04-25,2025-03-31,1868630557.43
2025-08-19,2025-06-30,3710463368.94
2025-10-28,2025-09-30,6007474863.65
2026-04-09,2025-12-31,8521086788.24
