date,period,value
2020-11-06,2020-06-30,662502.7
2021-03-25,2020-12-31,3659634.48
2021-09-16,2021-06-30,2019608.34
2021-10-30,2020-09-30,1955143.11
2021-10-30,2021-09-30,9093089.93
2022-04-28,2021-03-31,461262.82
2022-04-28,2021-12-31,17281617.68
2022-04-28,2022-03-31,5445481.19
2022-08-25,2022-06-30,8049825.75
2022-10-27,2022-09-30,13189823.89
2023-04-26,2022-12-31,21787628.46
2023-04-26,2023-03-31,2584766.48
2023-08-26,2023-06-30,5798824.45
2023-10-30,2023-09-30,11016361.89
2024-04-25,2023-12-31,18296148.32
2024-04-25,2024-03-31,138800.08
2024-08-16,2024-06-30,3894098.92
2024-10-22,2024-09-30,8864955.67
2025-04-03,2024-12-31,16204575.86
2025-04-25,2025-03-31,3659829.99
2025-08-19,2025-06-30,10591204.92
2025-10-28,2025-09-30,14029919.22
2026-04-09,2025-12-31,20172693.45
