date,period,value
2020-11-13,2020-06-30,5478400.0
2021-05-28,2020-12-31,27014400.0
2021-09-28,2021-06-30,1500000.0
2021-10-29,2020-09-30,27014400.0
2022-04-20,2021-12-31,1532500000.0
2022-04-28,2021-03-31,800000.0
2022-04-28,2022-03-31,185674373.0
2022-08-29,2022-06-30,180000000.0
2022-10-27,2022-09-30,228010500.0
2023-04-26,2022-12-31,1470612328.87
2023-04-26,2023-03-31,5457850.0
2023-08-30,2023-06-30,95457850.0
2023-10-30,2023-09-30,95457850.0
2024-04-29,2023-12-31,1005257850.0
2024-08-30,2024-06-30,838139327.99
2024-10-30,2024-09-30,1161360013.08
2025-04-29,2024-12-31,1489210912.0
2025-04-29,2025-03-31,85675069.0
2025-08-26,2025-06-30,966512523.64
2025-10-30,2025-09-30,1184147380.59
2026-03-10,2025-12-31,2046035996.66
