date,period,value
2020-11-13,2020-06-30,-235190735.42
2021-05-28,2020-12-31,-408159323.57
2021-09-28,2021-06-30,-179247778.59
2021-10-29,2020-09-30,-329890966.47
2021-10-29,2021-09-30,-290431353.48
2022-04-20,2021-12-31,-2079928274.09
2022-04-28,2021-03-31,-106877030.81
2022-04-28,2022-03-31,-163099190.61
2022-08-29,2022-06-30,-516335306.98
2022-10-27,2022-09-30,-712018224.01
2023-04-26,2022-12-31,-537087809.64
2023-04-26,2023-03-31,-115099925.82
2023-08-30,2023-06-30,-236797778.14
2023-10-30,2023-09-30,-331391837.61
2024-04-29,2023-12-31,-45669726.05
2024-04-29,2024-03-31,-70879417.49
2024-08-30,2024-06-30,21150544.05
2024-10-30,2024-09-30,-157365720.23
2025-04-29,2024-12-31,-730968229.82
2025-04-29,2025-03-31,-94905406.71
2025-08-26,2025-06-30,46712934.99
2025-10-30,2025-09-30,-166212273.98
2026-03-10,2025-12-31,-68960070.24
