date,period,value
2021-06-30,2020-12-31,28992955.05
2021-09-28,2021-06-30,39331757.16
2022-03-30,2021-12-31,73692025.94
2022-07-18,2022-03-31,90838309.99
2022-08-30,2022-06-30,112265983.02
2022-10-24,2022-09-30,112336233.38
2023-03-24,2022-12-31,233705774.46
2023-04-27,2023-03-31,237900459.72
2023-08-29,2023-06-30,291714547.83
2023-10-25,2023-09-30,349490427.02
2024-04-19,2023-12-31,391146499.12
2024-04-19,2024-03-31,416699734.82
2024-08-23,2024-06-30,450598576.66
2024-10-24,2024-09-30,488787758.9
2025-04-21,2024-12-31,938053808.29
2025-04-26,2025-03-31,912314634.47
2025-08-18,2025-06-30,864567375.33
2025-10-30,2025-09-30,1305458098.08
