date,period,value
2020-12-18,2020-06-30,1155630.85
2021-06-07,2020-12-31,91130927.15
2021-07-05,2020-03-31,-35541600.0
2021-09-30,2021-06-30,50020264.23
2021-11-29,2020-09-30,13486047.73
2021-11-29,2021-09-30,61979621.13
2022-04-25,2021-03-31,471125.14
2022-04-25,2021-12-31,142937317.77
2022-04-25,2022-03-31,9387448.32
2022-08-18,2022-06-30,60956040.83
2022-10-26,2022-09-30,90233402.4
2023-04-19,2022-12-31,146853950.24
2023-04-24,2023-03-31,31429846.37
2023-08-08,2023-06-30,94584559.32
2023-10-24,2023-09-30,143534071.82
2024-04-23,2023-12-31,209092426.97
2024-04-23,2024-03-31,21818792.0
2024-08-22,2024-06-30,71021733.53
2024-10-24,2024-09-30,138419622.55
2025-04-18,2024-12-31,211159110.55
2025-04-18,2025-03-31,6407779.49
2025-08-28,2025-06-30,63946345.3
2025-10-27,2025-09-30,160617965.19
