date,period,value
2020-11-27,2020-06-30,2477888267.17
2021-03-30,2020-12-31,3228732676.56
2021-09-30,2021-06-30,3269449969.26
2021-11-05,2021-09-30,3081830654.44
2022-04-28,2021-12-31,5954522316.01
2022-04-28,2022-03-31,5695539759.09
2022-08-29,2022-06-30,4838506336.51
2022-10-28,2022-09-30,4759410310.82
2023-04-27,2022-12-31,4428857750.93
2023-04-27,2023-03-31,4807776976.62
2023-08-30,2023-06-30,4415535261.19
2023-10-28,2023-09-30,4170963574.99
2024-04-27,2023-12-31,4015092950.11
2024-04-27,2024-03-31,3969983337.25
2024-08-30,2024-06-30,4315352546.56
2024-10-30,2024-09-30,4568797486.92
2025-04-29,2024-12-31,5013461586.07
2025-04-29,2025-03-31,5170409028.08
2025-08-29,2025-06-30,5449662733.75
2025-10-28,2025-09-30,5507029483.32
