date,period,value
2020-12-29,2020-06-30,194897480.01
2021-06-23,2020-12-31,471136044.23
2021-09-28,2021-06-30,262993934.8
2022-03-28,2021-12-31,588321049.14
2022-06-17,2021-03-31,135940380.6
2022-06-17,2022-03-31,149908869.96
2022-08-18,2022-06-30,284450628.67
2022-10-24,2021-09-30,402142504.57
2022-10-24,2022-09-30,458352581.49
2023-04-03,2022-12-31,670530898.98
2023-04-25,2023-03-31,205752584.74
2023-08-25,2023-06-30,412447142.95
2023-10-21,2023-09-30,599899693.62
2024-03-29,2023-12-31,826230455.23
2024-04-29,2024-03-31,225534038.18
2024-08-13,2024-06-30,430524794.74
2024-10-18,2024-09-30,665046344.17
2025-04-09,2024-12-31,927002922.56
2025-04-29,2025-03-31,247680590.19
2025-08-13,2025-06-30,495497293.26
2025-10-25,2025-09-30,754266317.77
2026-03-27,2025-12-31,1039110068.24
