date,period,value
2020-12-29,2020-06-30,-2482342.17
2021-06-23,2020-12-31,-7205598.06
2021-09-28,2021-06-30,-4406984.75
2022-03-28,2021-12-31,-4690548.29
2022-06-17,2021-03-31,2517142.03
2022-06-17,2022-03-31,-1633490.81
2022-08-18,2022-06-30,-8771576.85
2023-04-03,2022-12-31,-4632671.39
2023-08-25,2023-06-30,-1042109.43
2024-03-29,2023-12-31,-6616225.45
2024-08-13,2024-06-30,-1766960.02
2025-04-09,2024-12-31,-4998786.46
2025-08-13,2025-06-30,-6911355.08
2026-03-27,2025-12-31,-18258198.69
