date,period,value
2020-10-12,2020-06-30,182447146.63
2021-03-31,2020-12-31,692383235.15
2021-05-13,2020-03-31,28094000.0
2021-09-30,2021-06-30,918450184.38
2021-11-26,2020-09-30,380366058.01
2021-11-26,2021-09-30,1242660637.74
2022-04-22,2021-03-31,413363359.45
2022-04-22,2021-12-31,1632506975.11
2022-04-22,2022-03-31,468554350.52
2022-08-29,2022-06-30,726065344.31
2022-10-28,2022-09-30,953001279.77
2023-04-28,2022-12-31,884910484.18
2023-04-28,2023-03-31,120693624.55
2023-08-29,2023-06-30,73160490.49
2023-10-27,2023-09-30,108419962.49
2024-04-27,2023-12-31,117656036.96
2024-04-27,2024-03-31,34431861.98
2024-08-30,2024-06-30,46149098.07
2024-10-30,2024-09-30,39947621.53
2025-04-26,2024-12-31,81086239.98
2025-04-26,2025-03-31,31131033.61
2025-08-29,2025-06-30,101586028.39
2025-10-30,2025-09-30,134573621.21
