date,period,value
2020-08-31,2020-06-30,357910810.71
2021-03-29,2020-12-31,708982843.43
2021-08-13,2020-03-31,110444000.0
2021-08-31,2021-06-30,316481493.35
2021-11-05,2020-09-30,516524990.67
2021-11-05,2021-09-30,468226934.43
2022-02-09,2021-12-31,653651415.43
2022-04-27,2021-03-31,140121443.95
2022-04-27,2022-03-31,183290412.29
2022-08-30,2022-06-30,374774136.13
2022-10-28,2022-09-30,573432365.02
2023-04-27,2022-12-31,783480165.06
2023-04-27,2023-03-31,193788912.58
2023-08-29,2023-06-30,405092427.45
2023-10-30,2023-09-30,581096360.27
2024-04-23,2023-12-31,760787063.04
2024-04-23,2024-03-31,189109474.07
2024-08-28,2024-06-30,395428986.82
2024-10-29,2024-09-30,572371417.94
2025-04-26,2024-12-31,721031435.69
2025-04-26,2025-03-31,184664794.23
2025-08-21,2025-06-30,347080567.6
2025-10-29,2025-09-30,525828262.3
