date,period,value
2021-06-28,2020-12-31,4207441.62
2021-12-14,2021-06-30,152159.64
2022-04-26,2021-12-31,99453.74
2022-09-30,2022-06-30,1515104.53
2022-12-12,2021-09-30,410065.01
2022-12-12,2022-09-30,2257898.66
2023-04-27,2022-12-31,2693038.33
2023-08-24,2023-06-30,946308.69
2023-10-25,2023-09-30,1047935.78
2024-04-26,2023-12-31,1130933.57
2024-04-26,2024-03-31,489295.62
2024-08-27,2024-06-30,225276.85
2024-10-31,2024-09-30,637015.96
2025-04-30,2024-12-31,825459.86
2025-04-30,2025-03-31,259619.09
2025-08-30,2025-06-30,539788.83
2025-10-24,2025-09-30,5912909.98
