date,period,value
2021-06-30,2020-12-31,0.22
2021-11-16,2021-06-30,0.05
2022-04-14,2021-12-31,0.21
2022-10-28,2021-09-30,0.1219
2022-10-28,2022-09-30,0.1678
2023-04-21,2022-12-31,0.2437
2023-04-28,2022-03-31,0.0378
2023-04-28,2023-03-31,0.0324
2023-08-30,2022-06-30,0.1056
2023-08-30,2023-06-30,0.0904
2023-10-24,2023-09-30,0.1267
2024-04-26,2023-12-31,0.2061
2024-04-26,2024-03-31,0.0373
2024-08-28,2024-06-30,0.0653
2024-10-30,2024-09-30,0.0954
2025-04-25,2024-12-31,0.164
2025-04-25,2025-03-31,0.0104
2025-08-28,2025-06-30,0.0133
2025-10-28,2025-09-30,0.184
