date,period,value
2020-11-28,2020-06-30,132024943.59
2021-07-02,2020-12-31,151521620.8
2021-10-15,2021-06-30,111642450.0
2022-03-30,2021-12-31,231465830.93
2022-09-30,2022-06-30,261518813.08
2023-02-27,2022-12-31,503621634.72
2023-04-25,2022-03-31,181518813.08
2023-04-25,2023-03-31,1957558459.44
2023-08-25,2023-06-30,2285915072.22
2023-10-27,2022-09-30,409368813.08
2023-10-27,2023-09-30,2479780550.41
2024-04-22,2023-12-31,2501086999.62
2024-04-22,2024-03-31,503575081.18
2024-08-27,2024-06-30,675707231.73
2024-10-29,2024-09-30,997864768.22
2025-04-29,2024-12-31,1080425769.88
2025-04-29,2025-03-31,734511657.55
2025-08-26,2025-06-30,760582866.01
2025-10-23,2025-09-30,1405584773.77
2026-03-31,2025-12-31,1610638423.62
