date,period,value
2021-04-16,2020-12-31,3118372334.03
2021-09-15,2021-06-30,1131404175.37
2022-04-07,2021-12-31,1533613817.76
2022-09-16,2022-06-30,339199125.32
2022-10-27,2021-09-30,1712157211.02
2022-10-27,2022-09-30,409254174.72
2023-04-18,2022-03-31,158111825.12
2023-04-18,2022-12-31,909661829.67
2023-04-18,2023-03-31,594682838.21
2023-08-30,2023-06-30,1701449774.42
2023-10-27,2023-09-30,2640784911.57
2024-04-18,2023-12-31,3821690347.11
2024-04-18,2024-03-31,711714685.1
2024-08-20,2024-06-30,2118826910.39
2024-10-25,2024-09-30,3775726101.14
2025-04-18,2024-12-31,5496934684.38
2025-04-25,2025-03-31,733881871.95
2025-08-19,2025-06-30,1544270814.71
2025-10-22,2025-09-30,2379055942.0
