date,period,value
2021-06-29,2020-12-31,1797919.29
2021-09-28,2021-06-30,1638295.21
2022-04-18,2021-12-31,752385.95
2022-10-31,2022-06-30,637654.47
2022-11-21,2022-09-30,603692.66
2023-04-15,2022-12-31,560621.4
2023-04-27,2023-03-31,517322.02
2023-08-23,2023-06-30,552746.98
2023-10-27,2023-09-30,655709.27
2024-04-18,2023-12-31,738020.24
2024-04-26,2024-03-31,861968.69
2024-08-23,2024-06-30,904004.03
2024-10-24,2024-09-30,1091836.23
2025-04-23,2024-12-31,2674130.79
2025-04-23,2025-03-31,2213822.18
2025-08-21,2025-06-30,1812947.34
2025-10-24,2025-09-30,1302976.8
2026-03-27,2025-12-31,681233.62
