date,period,value
2021-12-28,2020-12-31,20655446.5
2021-12-28,2021-06-30,17773123.91
2022-06-23,2021-12-31,8902261.42
2022-11-24,2022-06-30,10400759.1
2023-09-15,2022-12-31,6890053.84
2023-09-15,2023-06-30,16050271.77
2024-05-16,2023-12-31,8899688.04
2024-05-16,2024-03-31,6156148.62
2024-08-23,2024-06-30,14669084.58
2024-10-29,2024-09-30,11378140.22
2025-04-24,2024-12-31,9671315.9
2025-04-24,2025-03-31,26195106.25
2025-08-21,2025-06-30,18292576.85
2025-10-30,2025-09-30,16694444.45
