date,period,value
2022-05-13,2020-12-31,8427134.02
2022-05-13,2021-12-31,8427134.02
2022-09-21,2022-06-30,8427134.02
2023-06-21,2022-12-31,8427134.02
2023-11-10,2023-06-30,8427134.02
2023-11-10,2023-09-30,8427134.02
2024-04-22,2023-12-31,8427134.02
2024-04-22,2024-03-31,8427134.02
2024-08-28,2024-06-30,8427134.02
2024-10-26,2024-09-30,8427134.02
2025-04-21,2024-12-31,8427134.02
2025-04-21,2025-03-31,8427134.02
2025-08-26,2025-06-30,8427134.02
2025-10-28,2025-09-30,8427134.02
2026-03-31,2025-12-31,8427134.02
