date,period,value
2022-06-02,2020-12-31,306023264.48
2022-06-02,2021-12-31,304895966.34
2022-09-29,2022-06-30,129739637.14
2024-02-26,2022-12-31,329387894.18
2024-02-26,2023-06-30,188502465.74
2024-03-30,2023-12-31,393683170.97
2024-07-05,2023-03-31,92666479.69
2024-07-05,2024-03-31,100958289.42
2024-08-29,2024-06-30,206241786.51
2024-10-29,2023-09-30,254269708.2
2024-10-29,2024-09-30,320194043.6
2025-04-24,2024-12-31,460483619.04
2025-04-29,2025-03-31,148536889.11
2025-08-29,2025-06-30,273559172.25
2025-10-25,2025-09-30,466819142.76
2026-03-31,2025-12-31,703456413.98
